iter	Logloss
0	0.6881494472
1	0.6832843761
2	0.6780496225
3	0.6731973029
4	0.668179751
5	0.6641049028
6	0.6592609364
7	0.654768261
8	0.6511207749
9	0.6468625504
10	0.6410064379
11	0.6371570071
12	0.633652547
13	0.6285257325
14	0.6250007769
15	0.6218382304
16	0.6182972262
17	0.6140500831
18	0.6100384463
19	0.6056871353
20	0.602089708
21	0.5976265064
22	0.5936403818
23	0.5907049804
24	0.5866227428
25	0.5824709059
26	0.5792877312
27	0.5762555805
28	0.5726168072
29	0.5694646844
30	0.5665678541
31	0.5629922139
32	0.5590828107
33	0.5556022555
34	0.5521043863
35	0.5492065895
36	0.5458104193
37	0.5427740556
38	0.5396669584
39	0.5363448744
40	0.5330511282
41	0.5299084816
42	0.5271995302
43	0.5243616351
44	0.5212921025
45	0.5188345135
46	0.5161365621
47	0.5134446696
48	0.5101648274
49	0.507557243
50	0.5048142593
51	0.5017396722
52	0.4994696005
53	0.4969363889
54	0.4951643322
55	0.4925962249
56	0.4905607278
57	0.4879943881
58	0.4853025656
59	0.4829181893
60	0.4803862088
61	0.4782099479
62	0.4760949017
63	0.4738589343
64	0.4717295423
65	0.4691487223
66	0.4667540941
67	0.4644475293
68	0.4620146931
69	0.4600898269
70	0.4572411483
71	0.4549158692
72	0.453189266
73	0.4514359023
74	0.4495550329
75	0.4475236939
76	0.4453302303
77	0.443598906
78	0.4416165881
79	0.4393711222
80	0.4379257485
81	0.4355286249
82	0.4336896501
83	0.4321297532
84	0.4302583855
85	0.4285427971
86	0.4264800805
87	0.4246607969
88	0.4233626869
89	0.4216206565
90	0.4195916127
91	0.4184369518
92	0.4172659535
93	0.4152891873
94	0.414037709
95	0.412750076
96	0.4111305207
97	0.4102740853
98	0.4084485796
99	0.4069746122
100	0.4050899725
101	0.4037212128
102	0.402680005
103	0.4009912971
104	0.3992032258
105	0.3975109604
106	0.3960076374
107	0.3946777361
108	0.3930430225
109	0.3916699963
110	0.3907180972
111	0.3897041984
112	0.3887728822
113	0.3875046636
114	0.3860959474
115	0.3845264458
116	0.3833193244
117	0.3823230866
118	0.3812807775
119	0.3801391868
120	0.3788296633
121	0.3780137464
122	0.3768262623
123	0.3758632776
124	0.3745782641
125	0.3733941043
126	0.3721585722
127	0.3710037614
128	0.3700002607
129	0.3685944963
130	0.3672598915
131	0.3664178984
132	0.3652505848
133	0.3640322096
134	0.3630083185
135	0.3619771316
136	0.3610644552
137	0.3603287119
138	0.3592588828
139	0.3580992407
140	0.3571203298
141	0.3559837349
142	0.3552772429
143	0.3547803561
144	0.3537793613
145	0.3526934444
146	0.3515921254
147	0.3503567795
148	0.3494870316
149	0.3486858818
150	0.3476871546
151	0.3467406027
152	0.3459280629
153	0.3451222738
154	0.3441389901
155	0.3431169201
156	0.3420929576
157	0.3413220603
158	0.3404325199
159	0.3397404864
160	0.3392352575
161	0.3385790643
162	0.3377478699
163	0.3369388874
164	0.3360726146
165	0.3353777302
166	0.3348308528
167	0.334060216
168	0.3334083117
169	0.33266167
170	0.3318977271
171	0.3308264718
172	0.3297394199
173	0.3289585734
174	0.3281571547
175	0.3271847073
176	0.3264854196
177	0.3256362243
178	0.3253905925
179	0.324686247
180	0.3240438141
181	0.3230600513
182	0.3222430106
183	0.3220616452
184	0.3212921702
185	0.3208040456
186	0.3199937525
187	0.3194872399
188	0.3189227316
189	0.3183150085
190	0.3177704355
191	0.3169475336
192	0.3162513413
193	0.3153639271
194	0.3148201895
195	0.31396088
196	0.3130494564
197	0.3122976056
198	0.3114336569
